"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON"
"1",1,"Ja'Marr Chase",CIN,"WR1","10","3 out of 5 stars"
"2",1,"Bijan Robinson",ATL,"RB1","5","4 out of 5 stars"
"3",1,"Jahmyr Gibbs",DET,"RB2","8","2 out of 5 stars"
"4",1,"Justin Jefferson",MIN,"WR2","6","2 out of 5 stars"
"5",1,"Saquon Barkley",PHI,"RB3","9","3 out of 5 stars"
"6",1,"CeeDee Lamb",DAL,"WR3","10","2 out of 5 stars"
"7",2,"Puka Nacua",LAR,"WR4","8","3 out of 5 stars"
"8",2,"Malik Nabers",NYG,"WR5","14","2 out of 5 stars"
"9",2,"Nico Collins",HOU,"WR6","6","4 out of 5 stars"
"10",2,"Amon-Ra St. Brown",DET,"WR7","8","3 out of 5 stars"
"11",2,"Christian McCaffrey",SF,"RB4","14","3 out of 5 stars"
"12",2,"Ashton Jeanty",LV,"RB5","8","2 out of 5 stars"
"13",2,"Brian Thomas Jr.",JAC,"WR8","8","4 out of 5 stars"
"14",2,"Derrick Henry",BAL,"RB6","7","4 out of 5 stars"
"15",2,"De'Von Achane",MIA,"RB7","12","4 out of 5 stars"
"16",3,"Drake London",ATL,"WR9","5","3 out of 5 stars"
"17",3,"Brock Bowers",LV,"TE1","8","2 out of 5 stars"
"18",3,"A.J. Brown",PHI,"WR10","9","3 out of 5 stars"
"19",3,"Jonathan Taylor",IND,"RB8","11","2 out of 5 stars"
"20",3,"Josh Jacobs",GB,"RB9","5","4 out of 5 stars"
"21",3,"Bucky Irving",TB,"RB10","9","3 out of 5 stars"
"22",3,"Trey McBride",ARI,"TE2","8","5 out of 5 stars"
"23",3,"Ladd McConkey",LAC,"WR11","12","3 out of 5 stars"
"24",3,"Chase Brown",CIN,"RB11","10","4 out of 5 stars"
"25",3,"Kyren Williams",LAR,"RB12","8","3 out of 5 stars"
"26",3,"Josh Allen",BUF,"QB1","7","4 out of 5 stars"
"27",4,"Lamar Jackson",BAL,"QB2","7","3 out of 5 stars"
"28",4,"Jaxon Smith-Njigba",SEA,"WR12","8","3 out of 5 stars"
"29",4,"Tee Higgins",CIN,"WR13","10","3 out of 5 stars"
"30",4,"Tyreek Hill",MIA,"WR14","12","3 out of 5 stars"
"31",4,"Garrett Wilson",NYJ,"WR15","9","4 out of 5 stars"
"32",4,"George Kittle",SF,"TE3","14","3 out of 5 stars"
"33",4,"Davante Adams",LAR,"WR16","8","3 out of 5 stars"
"34",4,"Jayden Daniels",WAS,"QB3","12","2 out of 5 stars"
"35",4,"Mike Evans",TB,"WR17","9","3 out of 5 stars"
"36",4,"Breece Hall",NYJ,"RB13","9","5 out of 5 stars"
"37",4,"Jalen Hurts",PHI,"QB4","9","3 out of 5 stars"
"38",4,"James Cook",BUF,"RB14","7","4 out of 5 stars"
"39",4,"Kenneth Walker III",SEA,"RB15","8","3 out of 5 stars"
"40",4,"Marvin Harrison Jr.",ARI,"WR18","8","4 out of 5 stars"
"41",4,"Terry McLaurin",WAS,"WR19","12","3 out of 5 stars"
"42",4,"Alvin Kamara",NO,"RB16","11","4 out of 5 stars"
"43",4,"Omarion Hampton",LAC,"RB17","12","2 out of 5 stars"
"44",5,"DJ Moore",CHI,"WR20","5","2 out of 5 stars"
"45",5,"Chuba Hubbard",CAR,"RB18","14","3 out of 5 stars"
"46",5,"Joe Burrow",CIN,"QB5","10","2 out of 5 stars"
"47",5,"DK Metcalf",PIT,"WR21","5","4 out of 5 stars"
"48",5,"James Conner",ARI,"RB19","8","3 out of 5 stars"
"49",5,"Courtland Sutton",DEN,"WR22","12","3 out of 5 stars"
"50",5,"DeVonta Smith",PHI,"WR23","9","3 out of 5 stars"
"51",5,"Zay Flowers",BAL,"WR24","7","3 out of 5 stars"
"52",5,"Jameson Williams",DET,"WR25","8","3 out of 5 stars"
"53",5,"David Montgomery",DET,"RB20","8","2 out of 5 stars"
"54",5,"Rashee Rice",KC,"WR26","10","3 out of 5 stars"
"55",5,"Xavier Worthy",KC,"WR27","10","3 out of 5 stars"
"56",5,"Jaylen Waddle",MIA,"WR28","12","3 out of 5 stars"
"57",5,"D'Andre Swift",CHI,"RB21","5","3 out of 5 stars"
"58",5,"Tetairoa McMillan",CAR,"WR29","14","4 out of 5 stars"
"59",5,"Sam LaPorta",DET,"TE4","8","3 out of 5 stars"
"60",5,"TreVeyon Henderson",NE,"RB22","14","4 out of 5 stars"
"61",5,"George Pickens",DAL,"WR30","10","2 out of 5 stars"
"62",5,"Calvin Ridley",TEN,"WR31","10","4 out of 5 stars"
"63",6,"Patrick Mahomes II",KC,"QB6","10","3 out of 5 stars"
"64",6,"Aaron Jones Sr.",MIN,"RB23","6","3 out of 5 stars"
"65",6,"Isiah Pacheco",KC,"RB24","10","2 out of 5 stars"
"66",6,"RJ Harvey",DEN,"RB25","12","2 out of 5 stars"
"67",6,"Tony Pollard",TEN,"RB26","10","2 out of 5 stars"
"68",6,"Chris Olave",NO,"WR32","11","4 out of 5 stars"
"69",6,"T.J. Hockenson",MIN,"TE5","6","3 out of 5 stars"
"70",6,"Travis Hunter",JAC,"WR33","8","4 out of 5 stars"
"71",6,"Kaleb Johnson",PIT,"RB27","5","4 out of 5 stars"
"72",6,"Joe Mixon",HOU,"RB28","6","2 out of 5 stars"
"73",6,"Baker Mayfield",TB,"QB7","9","2 out of 5 stars"
"74",6,"Jerry Jeudy",CLE,"WR34","9","2 out of 5 stars"
"75",6,"Brian Robinson Jr.",WAS,"RB29","12","2 out of 5 stars"
"76",6,"Bo Nix",DEN,"QB8","12","4 out of 5 stars"
"77",6,"Rome Odunze",CHI,"WR35","5","2 out of 5 stars"
"78",6,"Kyler Murray",ARI,"QB9","8","4 out of 5 stars"
"79",6,"Travis Kelce",KC,"TE6","10","3 out of 5 stars"
"80",6,"Mark Andrews",BAL,"TE7","7","3 out of 5 stars"
"81",6,"Tyrone Tracy Jr.",NYG,"RB30","14","3 out of 5 stars"
"82",6,"Jakobi Meyers",LV,"WR36","8","4 out of 5 stars"
"83",6,"Stefon Diggs",NE,"WR37","14","3 out of 5 stars"
"84",6,"Chris Godwin",TB,"WR38","9","3 out of 5 stars"
"85",7,"Jaylen Warren",PIT,"RB31","5","4 out of 5 stars"
"86",7,"Evan Engram",DEN,"TE8","12","3 out of 5 stars"
"87",7,"Jordan Addison",MIN,"WR39","6","2 out of 5 stars"
"88",7,"Justin Fields",NYJ,"QB10","9","5 out of 5 stars"
"89",7,"David Njoku",CLE,"TE9","9","3 out of 5 stars"
"90",7,"Dak Prescott",DAL,"QB11","10","2 out of 5 stars"
"91",7,"Brock Purdy",SF,"QB12","14","4 out of 5 stars"
"92",7,"Jauan Jennings",SF,"WR40","14","4 out of 5 stars"
"93",7,"Jayden Reed",GB,"WR41","5","2 out of 5 stars"
"94",7,"Ricky Pearsall",SF,"WR42","14","4 out of 5 stars"
"95",7,"Travis Etienne Jr.",JAC,"RB32","8","2 out of 5 stars"
"96",7,"Justin Herbert",LAC,"QB13","12","3 out of 5 stars"
"97",7,"Deebo Samuel Sr.",WAS,"WR43","12","3 out of 5 stars"
"98",7,"Khalil Shakir",BUF,"WR44","7","3 out of 5 stars"
"99",7,"Caleb Williams",CHI,"QB14","5","2 out of 5 stars"
